datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
2/14/2022 5:00:00 AM,2/14/2022 12:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,47.73,49.380000,-1.130000,2.780000,True,1
2/14/2022 6:00:00 AM,2/14/2022 1:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,47.53,50.100000,-0.260000,2.830000,True,1
2/14/2022 7:00:00 AM,2/14/2022 2:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,47.48,49.990000,-0.340000,2.850000,True,1
2/14/2022 8:00:00 AM,2/14/2022 3:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,49.09,51.930000,-0.020000,2.860000,True,1
2/14/2022 9:00:00 AM,2/14/2022 4:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,50.20,52.890000,-0.380000,3.070000,True,1
2/14/2022 10:00:00 AM,2/14/2022 5:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,59.78,62.410000,-0.950000,3.580000,True,1
2/14/2022 11:00:00 AM,2/14/2022 6:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,81.54,82.900000,-3.560000,4.920000,True,1
2/14/2022 12:00:00 PM,2/14/2022 7:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,98.31,101.220000,-3.460000,6.370000,True,1
2/14/2022 1:00:00 PM,2/14/2022 8:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,74.02,78.240000,-0.420000,4.640000,True,1
2/14/2022 2:00:00 PM,2/14/2022 9:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,64.52,70.690000,3.270000,2.900000,True,1
2/14/2022 3:00:00 PM,2/14/2022 10:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,59.87,65.630000,3.820000,1.940000,True,1
2/14/2022 4:00:00 PM,2/14/2022 11:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,55.54,63.990000,7.030000,1.420000,True,1
2/14/2022 5:00:00 PM,2/14/2022 12:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,50.89,59.360000,7.010000,1.460000,True,1
2/14/2022 6:00:00 PM,2/14/2022 1:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,49.08,57.660000,6.920000,1.660000,True,1
2/14/2022 7:00:00 PM,2/14/2022 2:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,45.84,52.130000,4.330000,1.960000,True,1
2/14/2022 8:00:00 PM,2/14/2022 3:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,47.86,54.110000,4.180000,2.070000,True,1
2/14/2022 9:00:00 PM,2/14/2022 4:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,54.43,71.880000,15.300000,2.150000,True,1
2/14/2022 10:00:00 PM,2/14/2022 5:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,79.07,134.120000,52.870000,2.180000,True,1
