datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
2/4/2022 5:00:00 AM,2/4/2022 12:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,43.88,47.250000,-0.250000,3.620000,True,1
2/4/2022 6:00:00 AM,2/4/2022 1:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,43.22,46.310000,-0.080000,3.170000,True,1
2/4/2022 7:00:00 AM,2/4/2022 2:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,42.65,45.400000,-0.220000,2.970000,True,1
2/4/2022 8:00:00 AM,2/4/2022 3:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,43.24,45.940000,-0.150000,2.850000,True,1
2/4/2022 9:00:00 AM,2/4/2022 4:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,44.03,47.000000,-0.130000,3.100000,True,1
2/4/2022 10:00:00 AM,2/4/2022 5:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,46.49,48.610000,-1.610000,3.730000,True,1
2/4/2022 11:00:00 AM,2/4/2022 6:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,57.25,59.040000,-3.350000,5.140000,True,1
2/4/2022 12:00:00 PM,2/4/2022 7:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,63.70,64.750000,-4.150000,5.200000,True,1
2/4/2022 1:00:00 PM,2/4/2022 8:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,65.65,66.670000,-4.730000,5.750000,True,1
2/4/2022 2:00:00 PM,2/4/2022 9:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,65.28,56.680000,-14.100000,5.500000,True,1
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,73.44,69.630000,-9.980000,6.170000,True,1
2/4/2022 4:00:00 PM,2/4/2022 11:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,67.83,68.450000,-5.140000,5.760000,True,1
2/4/2022 5:00:00 PM,2/4/2022 12:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,62.88,64.970000,-3.200000,5.290000,True,1
2/4/2022 6:00:00 PM,2/4/2022 1:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,61.44,66.000000,-0.700000,5.260000,True,1
2/4/2022 7:00:00 PM,2/4/2022 2:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,60.20,64.530000,-0.690000,5.020000,True,1
2/4/2022 8:00:00 PM,2/4/2022 3:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,59.48,64.090000,-0.650000,5.260000,True,1
2/4/2022 9:00:00 PM,2/4/2022 4:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,60.10,64.820000,-0.610000,5.330000,True,1
2/4/2022 10:00:00 PM,2/4/2022 5:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,73.45,79.630000,-0.100000,6.280000,True,1
2/4/2022 11:00:00 PM,2/4/2022 6:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,75.98,82.010000,-0.300000,6.330000,True,1
2/5/2022 12:00:00 AM,2/4/2022 7:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,69.14,73.820000,-0.180000,4.860000,True,1
2/5/2022 1:00:00 AM,2/4/2022 8:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,62.54,67.160000,0.130000,4.490000,True,1
2/5/2022 2:00:00 AM,2/4/2022 9:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,60.65,65.530000,0.410000,4.470000,True,1
2/5/2022 3:00:00 AM,2/4/2022 10:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,58.79,63.760000,0.620000,4.350000,True,1
2/5/2022 4:00:00 AM,2/4/2022 11:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,55.20,59.870000,0.410000,4.260000,True,1
2/4/2022 5:00:00 AM,2/4/2022 12:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,43.88,47.250000,-0.250000,3.620000,True,1
