datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
2/21/2022 5:00:00 AM,2/21/2022 12:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,38.95,39.350000,0.090000,0.310000,True,1
2/21/2022 6:00:00 AM,2/21/2022 1:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,38.55,37.630000,-0.960000,0.040000,True,1
2/21/2022 7:00:00 AM,2/21/2022 2:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,37.66,36.490000,-1.220000,0.050000,True,1
2/21/2022 8:00:00 AM,2/21/2022 3:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,38.33,36.990000,-1.560000,0.220000,True,1
2/21/2022 9:00:00 AM,2/21/2022 4:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,39.35,35.890000,-3.810000,0.350000,True,1
2/21/2022 10:00:00 AM,2/21/2022 5:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,44.87,40.990000,-4.360000,0.480000,True,1
2/21/2022 11:00:00 AM,2/21/2022 6:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,46.26,39.010000,-7.320000,0.070000,True,1
2/21/2022 12:00:00 PM,2/21/2022 7:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,52.12,45.600000,-6.540000,0.020000,True,1
2/21/2022 1:00:00 PM,2/21/2022 8:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,46.24,41.580000,-4.990000,0.330000,True,1
2/21/2022 2:00:00 PM,2/21/2022 9:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,43.08,37.620000,-6.190000,0.730000,True,1
2/21/2022 3:00:00 PM,2/21/2022 10:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,41.71,37.450000,-5.340000,1.080000,True,1
2/21/2022 4:00:00 PM,2/21/2022 11:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,39.32,35.230000,-4.970000,0.880000,True,1
2/21/2022 5:00:00 PM,2/21/2022 12:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,36.65,33.830000,-3.630000,0.810000,True,1
2/21/2022 6:00:00 PM,2/21/2022 1:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,36.43,31.750000,-5.430000,0.750000,True,1
2/21/2022 7:00:00 PM,2/21/2022 2:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,35.17,31.290000,-4.740000,0.860000,True,1
2/21/2022 8:00:00 PM,2/21/2022 3:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,34.58,31.110000,-4.330000,0.860000,True,1
2/21/2022 9:00:00 PM,2/21/2022 4:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,35.35,31.960000,-4.330000,0.940000,True,1
2/21/2022 10:00:00 PM,2/21/2022 5:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,40.32,35.360000,-5.990000,1.030000,True,1
2/21/2022 11:00:00 PM,2/21/2022 6:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,43.11,41.520000,-2.610000,1.020000,True,1
2/22/2022 12:00:00 AM,2/21/2022 7:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,39.98,36.710000,-3.930000,0.660000,True,1
2/22/2022 1:00:00 AM,2/21/2022 8:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,38.75,35.270000,-4.060000,0.580000,True,1
2/22/2022 2:00:00 AM,2/21/2022 9:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,36.32,34.290000,-2.810000,0.780000,True,1
2/22/2022 3:00:00 AM,2/21/2022 10:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,36.67,35.120000,-2.300000,0.750000,True,1
2/22/2022 4:00:00 AM,2/21/2022 11:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,34.09,33.800000,-0.900000,0.610000,True,1
2/21/2022 5:00:00 AM,2/21/2022 12:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,38.95,39.350000,0.090000,0.310000,True,1
2/21/2022 6:00:00 AM,2/21/2022 1:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,38.55,37.630000,-0.960000,0.040000,True,1
2/21/2022 7:00:00 AM,2/21/2022 2:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,37.66,36.490000,-1.220000,0.050000,True,1
2/21/2022 8:00:00 AM,2/21/2022 3:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,38.33,36.990000,-1.560000,0.220000,True,1
2/21/2022 9:00:00 AM,2/21/2022 4:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,39.35,35.890000,-3.810000,0.350000,True,1
2/21/2022 10:00:00 AM,2/21/2022 5:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,44.87,40.990000,-4.360000,0.480000,True,1
2/21/2022 11:00:00 AM,2/21/2022 6:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,46.26,39.010000,-7.320000,0.070000,True,1
2/21/2022 12:00:00 PM,2/21/2022 7:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,52.12,45.600000,-6.540000,0.020000,True,1
2/21/2022 1:00:00 PM,2/21/2022 8:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,46.24,41.580000,-4.990000,0.330000,True,1
2/21/2022 2:00:00 PM,2/21/2022 9:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,43.08,37.620000,-6.190000,0.730000,True,1
2/21/2022 3:00:00 PM,2/21/2022 10:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,41.71,37.450000,-5.340000,1.080000,True,1
2/21/2022 4:00:00 PM,2/21/2022 11:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,39.32,35.230000,-4.970000,0.880000,True,1
2/21/2022 5:00:00 PM,2/21/2022 12:00:00 PM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,36.65,33.830000,-3.630000,0.810000,True,1
2/21/2022 6:00:00 PM,2/21/2022 1:00:00 PM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,36.43,31.750000,-5.430000,0.750000,True,1
2/21/2022 7:00:00 PM,2/21/2022 2:00:00 PM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,35.17,31.290000,-4.740000,0.860000,True,1
2/21/2022 8:00:00 PM,2/21/2022 3:00:00 PM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,34.58,31.110000,-4.330000,0.860000,True,1
2/21/2022 9:00:00 PM,2/21/2022 4:00:00 PM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,35.35,31.960000,-4.330000,0.940000,True,1
2/21/2022 10:00:00 PM,2/21/2022 5:00:00 PM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,40.32,35.360000,-5.990000,1.030000,True,1
2/21/2022 11:00:00 PM,2/21/2022 6:00:00 PM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,43.11,41.520000,-2.610000,1.020000,True,1
2/22/2022 12:00:00 AM,2/21/2022 7:00:00 PM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,39.98,36.710000,-3.930000,0.660000,True,1
2/22/2022 1:00:00 AM,2/21/2022 8:00:00 PM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,38.75,35.270000,-4.060000,0.580000,True,1
2/22/2022 2:00:00 AM,2/21/2022 9:00:00 PM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,36.32,34.290000,-2.810000,0.780000,True,1
2/22/2022 3:00:00 AM,2/21/2022 10:00:00 PM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,36.67,35.120000,-2.300000,0.750000,True,1
2/22/2022 4:00:00 AM,2/21/2022 11:00:00 PM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,34.09,33.800000,-0.900000,0.610000,True,1
2/21/2022 5:00:00 AM,2/21/2022 12:00:00 AM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,38.95,48.860000,9.810000,0.100000,True,1
2/21/2022 6:00:00 AM,2/21/2022 1:00:00 AM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,38.55,36.210000,-2.140000,-0.200000,True,1
2/21/2022 7:00:00 AM,2/21/2022 2:00:00 AM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,37.66,35.190000,-2.310000,-0.160000,True,1
2/21/2022 8:00:00 AM,2/21/2022 3:00:00 AM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,38.33,35.510000,-2.950000,0.130000,True,1
2/21/2022 9:00:00 AM,2/21/2022 4:00:00 AM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,39.35,36.040000,-3.570000,0.260000,True,1
2/21/2022 10:00:00 AM,2/21/2022 5:00:00 AM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,44.87,43.860000,-1.370000,0.360000,True,1
2/21/2022 11:00:00 AM,2/21/2022 6:00:00 AM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,46.26,48.520000,2.260000,0.000000,True,1
2/21/2022 12:00:00 PM,2/21/2022 7:00:00 AM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,52.12,58.200000,6.070000,0.010000,True,1
2/21/2022 1:00:00 PM,2/21/2022 8:00:00 AM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,46.24,46.430000,-0.560000,0.750000,True,1
2/21/2022 2:00:00 PM,2/21/2022 9:00:00 AM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,43.08,36.910000,-7.390000,1.220000,True,1
2/21/2022 3:00:00 PM,2/21/2022 10:00:00 AM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,41.71,36.860000,-6.570000,1.720000,True,1
2/21/2022 4:00:00 PM,2/21/2022 11:00:00 AM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,39.32,34.510000,-6.240000,1.430000,True,1
2/21/2022 5:00:00 PM,2/21/2022 12:00:00 PM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,36.65,33.160000,-4.790000,1.300000,True,1
2/21/2022 6:00:00 PM,2/21/2022 1:00:00 PM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,36.43,32.560000,-5.130000,1.260000,True,1
2/21/2022 7:00:00 PM,2/21/2022 2:00:00 PM,49066,BERWICK,69 KV,LOAD1,LOAD,PPL,35.17,32.170000,-4.340000,1.340000,True,1
