datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
2/8/2022 5:00:00 AM,2/8/2022 12:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,53.52,55.340000,0.370000,1.450000,True,1
2/8/2022 6:00:00 AM,2/8/2022 1:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,49.88,52.060000,0.770000,1.410000,True,1
2/8/2022 7:00:00 AM,2/8/2022 2:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,49.02,51.790000,0.880000,1.890000,True,1
2/8/2022 8:00:00 AM,2/8/2022 3:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,49.27,53.280000,1.020000,2.990000,True,1
2/8/2022 9:00:00 AM,2/8/2022 4:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,54.14,58.490000,1.280000,3.070000,True,1
2/8/2022 10:00:00 AM,2/8/2022 5:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,57.39,61.870000,1.420000,3.060000,True,1
2/8/2022 11:00:00 AM,2/8/2022 6:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,75.14,68.820000,-10.140000,3.820000,True,1
2/8/2022 12:00:00 PM,2/8/2022 7:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,84.75,88.230000,-1.710000,5.190000,True,1
2/8/2022 1:00:00 PM,2/8/2022 8:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,64.16,58.050000,-9.240000,3.130000,True,1
2/8/2022 2:00:00 PM,2/8/2022 9:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,55.56,59.310000,0.770000,2.980000,True,1
2/8/2022 3:00:00 PM,2/8/2022 10:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,44.65,47.550000,0.500000,2.400000,True,1
2/8/2022 4:00:00 PM,2/8/2022 11:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,42.33,45.380000,0.750000,2.300000,True,1
2/8/2022 5:00:00 PM,2/8/2022 12:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,40.73,43.680000,0.730000,2.220000,True,1
2/8/2022 6:00:00 PM,2/8/2022 1:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,39.28,41.740000,0.380000,2.080000,True,1
2/8/2022 7:00:00 PM,2/8/2022 2:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,38.38,41.290000,0.850000,2.060000,True,1
2/8/2022 8:00:00 PM,2/8/2022 3:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,38.31,41.280000,0.830000,2.140000,True,1
2/8/2022 9:00:00 PM,2/8/2022 4:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,39.45,42.770000,1.080000,2.240000,True,1
2/8/2022 10:00:00 PM,2/8/2022 5:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,44.68,46.330000,-0.660000,2.310000,True,1
2/8/2022 11:00:00 PM,2/8/2022 6:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,51.40,49.750000,-4.380000,2.730000,True,1
2/9/2022 12:00:00 AM,2/8/2022 7:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,49.59,47.700000,-4.210000,2.320000,True,1
2/9/2022 1:00:00 AM,2/8/2022 8:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,45.69,44.890000,-2.980000,2.180000,True,1
2/9/2022 2:00:00 AM,2/8/2022 9:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,42.56,46.170000,1.290000,2.320000,True,1
2/9/2022 3:00:00 AM,2/8/2022 10:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,40.47,43.940000,1.170000,2.300000,True,1
2/9/2022 4:00:00 AM,2/8/2022 11:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,39.92,42.790000,0.980000,1.890000,True,1
2/8/2022 5:00:00 AM,2/8/2022 12:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,53.52,55.340000,0.370000,1.450000,True,1
2/8/2022 6:00:00 AM,2/8/2022 1:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,49.88,52.060000,0.770000,1.410000,True,1
2/8/2022 7:00:00 AM,2/8/2022 2:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,49.02,51.790000,0.880000,1.890000,True,1
2/8/2022 8:00:00 AM,2/8/2022 3:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,49.27,53.280000,1.020000,2.990000,True,1
2/8/2022 9:00:00 AM,2/8/2022 4:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,54.14,58.490000,1.280000,3.070000,True,1
2/8/2022 10:00:00 AM,2/8/2022 5:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,57.39,61.870000,1.420000,3.060000,True,1
2/8/2022 11:00:00 AM,2/8/2022 6:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,75.14,68.820000,-10.140000,3.820000,True,1
2/8/2022 12:00:00 PM,2/8/2022 7:00:00 AM,49065,BERKS,69 KV,BUS_3,LOAD,PPL,84.75,88.230000,-1.710000,5.190000,True,1
