datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
2/10/2022 5:00:00 AM,2/10/2022 12:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,34.50,36.400000,0.180000,1.720000,True,1
2/10/2022 6:00:00 AM,2/10/2022 1:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,33.95,35.990000,0.200000,1.840000,True,1
2/10/2022 7:00:00 AM,2/10/2022 2:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,33.54,35.570000,0.100000,1.930000,True,1
2/10/2022 8:00:00 AM,2/10/2022 3:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,33.97,36.170000,0.150000,2.050000,True,1
2/10/2022 9:00:00 AM,2/10/2022 4:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,35.17,38.570000,0.740000,2.660000,True,1
2/10/2022 10:00:00 AM,2/10/2022 5:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,38.69,41.860000,0.820000,2.350000,True,1
2/10/2022 11:00:00 AM,2/10/2022 6:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,48.79,49.520000,-2.480000,3.210000,True,1
2/10/2022 12:00:00 PM,2/10/2022 7:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,48.50,47.710000,-3.970000,3.180000,True,1
2/10/2022 1:00:00 PM,2/10/2022 8:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,42.21,41.950000,-1.980000,1.720000,True,1
2/10/2022 2:00:00 PM,2/10/2022 9:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,38.35,38.270000,-2.210000,2.130000,True,1
2/10/2022 3:00:00 PM,2/10/2022 10:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,37.19,37.110000,-2.210000,2.130000,True,1
2/10/2022 4:00:00 PM,2/10/2022 11:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,35.99,36.100000,-2.150000,2.260000,True,1
2/10/2022 5:00:00 PM,2/10/2022 12:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,34.05,33.860000,-2.360000,2.170000,True,1
