datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
2/17/2022 5:00:00 AM,2/17/2022 12:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,30.59,29.770000,-2.260000,1.440000,True,1
2/17/2022 6:00:00 AM,2/17/2022 1:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,29.68,30.610000,-0.500000,1.430000,True,1
2/17/2022 7:00:00 AM,2/17/2022 2:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,28.08,28.020000,-1.340000,1.280000,True,1
2/17/2022 8:00:00 AM,2/17/2022 3:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,28.64,27.340000,-2.600000,1.300000,True,1
2/17/2022 9:00:00 AM,2/17/2022 4:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,29.84,31.270000,-0.010000,1.440000,True,1
2/17/2022 10:00:00 AM,2/17/2022 5:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,33.68,36.260000,0.870000,1.710000,True,1
2/17/2022 11:00:00 AM,2/17/2022 6:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,39.72,35.850000,-5.340000,1.470000,True,1
2/17/2022 12:00:00 PM,2/17/2022 7:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,42.10,39.460000,-4.130000,1.490000,True,1
2/17/2022 1:00:00 PM,2/17/2022 8:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,38.31,34.050000,-5.930000,1.670000,True,1
2/17/2022 2:00:00 PM,2/17/2022 9:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,35.81,33.480000,-4.210000,1.880000,True,1
2/17/2022 3:00:00 PM,2/17/2022 10:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,37.96,39.880000,-0.210000,2.130000,True,1
2/17/2022 4:00:00 PM,2/17/2022 11:00:00 AM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,38.15,40.290000,-0.180000,2.320000,True,1
2/17/2022 5:00:00 PM,2/17/2022 12:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,37.09,36.700000,-2.520000,2.130000,True,1
2/17/2022 6:00:00 PM,2/17/2022 1:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,36.70,36.570000,-2.460000,2.330000,True,1
2/17/2022 7:00:00 PM,2/17/2022 2:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,34.66,34.210000,-2.620000,2.170000,True,1
2/17/2022 8:00:00 PM,2/17/2022 3:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,34.69,33.690000,-3.080000,2.080000,True,1
2/17/2022 9:00:00 PM,2/17/2022 4:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,35.08,32.650000,-4.410000,1.980000,True,1
2/17/2022 10:00:00 PM,2/17/2022 5:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,41.56,38.680000,-5.140000,2.260000,True,1
2/17/2022 11:00:00 PM,2/17/2022 6:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,43.93,40.890000,-5.500000,2.460000,True,1
2/18/2022 12:00:00 AM,2/17/2022 7:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,41.53,36.760000,-7.180000,2.410000,True,1
2/18/2022 1:00:00 AM,2/17/2022 8:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,40.40,32.870000,-10.120000,2.590000,True,1
2/18/2022 2:00:00 AM,2/17/2022 9:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,36.66,30.690000,-8.480000,2.510000,True,1
2/18/2022 3:00:00 AM,2/17/2022 10:00:00 PM,49064,BERKS,69 KV,BUS_1,LOAD,PPL,34.64,31.160000,-5.970000,2.490000,True,1
